param_name,seed,avg_test_pcc,avg_test_rmse,avg_train_pcc,avg_train_rmse,fold01_test_pcc,fold02_test_pcc,fold03_test_pcc,fold04_test_pcc,fold05_test_pcc,fold06_test_pcc,fold07_test_pcc,fold08_test_pcc,fold09_test_pcc,fold10_test_pcc,threshold,step
thresh10.0_step2.0,4.5,0.7212100974706817,1.304823672093912,0.999388646038559,0.07155686602236747,0.7027084795375685,0.7263759392629284,0.711330409339959,0.7056062031683135,0.7219736271574552,0.738636942874815,0.7182756486396541,0.7761454439357992,0.7226678629936601,0.6883804177966635,10.0,2.0
thresh10.0_step1.5,4.5,0.7207744068019338,1.305973736613443,0.999361925566786,0.07340538796014935,0.7026281045809772,0.7237295416452009,0.7128353077564744,0.705841299662667,0.7210296935948196,0.7349207028090403,0.7191631002654885,0.7724030302031459,0.7292354577795681,0.6859578297219575,10.0,1.5
thresh12.0_step2.0,4.5,0.7204016443952782,1.3059391680976327,0.9995846284407698,0.0589573131349543,0.7023024849048547,0.7237540528609954,0.7102720673648257,0.7047843607690323,0.7242381564616445,0.7355023304533262,0.7206089892412049,0.7764962874377975,0.7244862862997935,0.6815714281593067,12.0,2.0
thresh12.0_step1.5,4.5,0.7199374008426678,1.3075615851091589,0.9996135418964472,0.057261972850827444,0.6997632644111647,0.7208448161170731,0.712510414160082,0.7069061294184396,0.724499325378657,0.7338182422864928,0.721325662775245,0.7705481000217781,0.7305386246979519,0.6786194291597923,12.0,1.5
thresh10.0_step1.0,4.5,0.7192071968018293,1.3095350324168549,0.9994391867173377,0.06952324307516196,0.6989239750804587,0.7213243530483059,0.7121666316999319,0.7095514038859753,0.7147898429207811,0.7330148774706384,0.7193512163610682,0.7733635838777614,0.7223988648738905,0.687187218799483,10.0,1.0
thresh8.0_step2.0,4.5,0.7181723613311524,1.310041898650389,0.99904828062485,0.08933160841139609,0.7006059655326569,0.7214822332809848,0.7072638609400125,0.701347558596846,0.7201067007799351,0.7344362860202232,0.714061023849517,0.7776276867972072,0.7155206183532041,0.6892716791609371,8.0,2.0
thresh8.0_step1.5,4.5,0.7179492524103946,1.31120197708834,0.9990604162008605,0.08931036025037882,0.7006569494041941,0.7196211634703715,0.707329394388534,0.700383032131899,0.7191547532253019,0.7300736977283603,0.7157009996717315,0.7722376257320793,0.7274648768775924,0.6868700314738829,8.0,1.5
thresh12.0_step1.0,4.5,0.7178191098430784,1.3119267395897247,0.9996236661969679,0.05690117026767151,0.6952684913602265,0.7189922862028689,0.7120735787863908,0.7066183862036699,0.7174129642208759,0.7328595749090375,0.7226466114095124,0.7705842720997493,0.7225135046236544,0.6792214286147966,12.0,1.0
thresh8.0_step1.0,4.5,0.7173217515456084,1.3132895065329029,0.9990413646762658,0.09103884239930157,0.6979878917933984,0.7148965716132187,0.7112639522857093,0.7059541017670483,0.7124883486464787,0.7317205111865531,0.7159780081311424,0.7696180342292174,0.7214280680849046,0.6918820277184131,8.0,1.0
thresh10.0_step0.5,4.5,0.7142103030412642,1.3203890439637864,0.999354006989235,0.0758351522020886,0.6910663808633375,0.7127853297174274,0.7066383479028365,0.7046291742091263,0.7064026123405489,0.7304194616478318,0.7186643779659082,0.7694707195191007,0.722754463929996,0.6792721623165294,10.0,0.5
thresh6.0_step2.0,4.5,0.7140915229643707,1.3182911249429057,0.9983257067241311,0.11839135939753095,0.6959940090074661,0.7221744137583819,0.7050899793124042,0.6959748250924418,0.7201053004512733,0.7311192042444465,0.7025920876586572,0.7726292699159043,0.7140453649109819,0.6811907752917492,6.0,2.0
thresh12.0_step0.5,4.5,0.7140369519364551,1.3205018353562132,0.9995940947999451,0.06006097855697991,0.6908325902492136,0.7120319765384848,0.7081897373512698,0.7041221591020457,0.7098931327169921,0.7286465518215424,0.7205442338750206,0.7676114403705411,0.7259818952728754,0.6725158020665658,12.0,0.5
thresh6.0_step1.5,4.5,0.7136324574017792,1.3199790654151662,0.9982838006619487,0.12134972884810333,0.7000321887174138,0.7154078092068787,0.7054836624132619,0.6971940648803266,0.7171886664633245,0.7268923289546457,0.6966874719636031,0.7669409181255339,0.7276921714980616,0.6828052917947408,6.0,1.5
thresh8.0_step0.5,4.5,0.7118043329147115,1.324774903055919,0.9988466835545784,0.10135449756441983,0.6891709547172762,0.7090540311973774,0.7055787454221208,0.7014036292568541,0.7050011851554225,0.7302619664462466,0.7127050337759989,0.7665512044428004,0.717336328843314,0.6809802498897031,8.0,0.5
thresh6.0_step1.0,4.5,0.7101326574163765,1.326585058914334,0.9981855260641577,0.1253736196777117,0.6940108705529824,0.7123514077645459,0.702920516803707,0.6952166780225838,0.7156464238759919,0.7268736048486872,0.6958023095251767,0.7638009880393802,0.7177400590665663,0.6769637156641441,6.0,1.0
thresh6.0_step0.5,4.5,0.707898307496392,1.3320324356569517,0.9976495408395994,0.14421932594198555,0.690190498397073,0.7040507780425999,0.7008169811673536,0.695466144097353,0.7084140565660566,0.7255400806420745,0.6952193111421198,0.7643580250694144,0.7183737775817074,0.676553422258168,6.0,0.5
